X (mg);Y (mg);Z (mg)
66;10;-97
38;-87;-76
27;-152;-8
14;-108;91
-46;-51;249
-206;-150;533
-340;-429;625
-462;-591;536
-454;-503;59
-53;131;-795
494;844;-745
538;825;-240
320;224;-31
-62;-245;60
-293;-352;120
-143;-182;94
10;-25;87
55;77;67
-36;74;147
-90;-52;100
-40;-137;0
42;-114;-74
63;-14;-100
62;63;-96
-6;94;-28
-58;66;-20
-37;30;33
2;46;47
27;22;46
1;-16;10
-7;-39;-1
-22;-29;47
-66;2;16
-38;29;-41
-26;17;9
-85;-31;9
-87;-72;-33
-43;-77;18
17;-22;8
70;37;-23
62;70;7
46;76;29
-6;32;44
-74;-9;29
-113;-23;-6
-85;-40;-50
-50;-14;-13
-32;20;-43
17;16;-52
40;-15;9
24;-8;22
-8;-24;37
-34;-30;39
-28;-27;17
-6;0;1
4;26;-32
4;10;-32
-34;7;-15
-55;-1;-3
-53;12;18
-39;14;37
-28;20;50
-19;9;55
-7;-21;29
-9;-48;6
-28;-29;-21
-22;16;-32
-22;36;-28
-41;27;-17
-53;17;-13
-66;-11;11
-75;-27;30
-41;-8;28
1;10;36
31;31;27
42;34;24
21;30;22
-15;14;7
-28;5;-9
-26;-22;-15
-37;-30;-14
-29;-16;-31
-4;-26;-3
-9;-43;15
-9;-9;21
10;39;26
34;56;29
48;41;18
39;13;5
18;-17;-8
-15;-47;-6
-45;-54;-23
-33;-38;-26
-13;-11;-13
-4;16;-1
-5;11;21
-5;-1;39
4;6;42
19;28;28
26;45;12
16;33;5
-11;13;-1
-30;11;-14
-31;-12;-15
-42;-24;-12
-43;-32;-10
-34;-31;0
-14;-2;11
6;22;18
1;24;19
-9;17;-1
-2;26;-12
11;29;-8
15;14;-15
-2;0;-5
-28;3;8
-40;8;0
-41;3;1
-28;0;8
-8;-2;3
2;10;-8
18;27;-16
15;18;-2
-14;-4;8
-44;-19;3
-52;-8;2
-45;23;0
-36;25;-8
-31;14;0
-25;8;-2
-13;7;-6
-4;13;-10
-6;19;6
-26;26;12
-24;17;-1
1;1;-4
-2;2;-19
-21;-9;-25
-29;-11;-6
-34;-2;-4
-27;-1;-6
-25;14;7
-24;27;7
-27;23;-6
-31;9;1
-37;0;-4
-39;-28;-5
-58;-15;3
-59;32;-11
-39;46;-36
-37;81;-4
-66;77;0
-81;55;-8
-60;41;-23
-29;58;-14
-32;76;-12
-52;42;-18
-80;8;-28
-98;-50;-64
-102;-56;-54
-89;16;-70
-57;27;-46
-67;20;-17
-96;1;-18
-95;-5;17
-90;-13;40
-86;10;13
-71;66;-26
-45;94;-35
-21;60;-12
-8;45;-14
-50;28;15
-89;41;16
-61;37;-4
-48;-15;-14
-56;-33;-43
-28;-17;-55
-2;-8;-38
-12;7;-19
-37;7;23
-54;38;35
-91;47;39
-89;46;-21
-67;58;-73
-41;6;-60
-66;-25;-33
-81;-40;-29
-49;-10;10
-34;57;11
-32;76;-9
-54;58;-7
-61;6;-34
-77;-29;-29
-88;-9;-52
-65;-14;-80
-41;-55;-29
-72;-47;6
-127;-37;5
-108;21;-23
-51;63;-6
-73;137;-39
-51;155;-79
3;145;-47
-38;71;6
-130;49;-13
-151;5;15
-130;-48;-55
-39;-55;-44
-11;-44;-48
-26;-6;-74
1;11;-77
20;39;-73
36;3;-30
-23;-66;-42
-56;44;-60
-69;109;-39
-64;68;-41
-44;50;-15
-43;5;-21
-98;-42;-56
-106;28;-43
-75;62;-9
0;75;-95
92;12;-48
78;-13;-71
20;-17;-107
3;-49;-69
17;-25;-7
35;-26;-33
10;31;-40
-9;97;-59
20;84;-67
-1;83;-34
-42;24;-46
27;0;-49
104;-8;-14
79;0;-59
96;-16;-22
36;-47;-2
-26;-24;-38
6;22;-75
77;62;-58
125;71;-95
187;24;-11
125;-88;-15
31;-80;-17
30;-35;-11
61;4;-23
105;108;-22
72;-1;3
-58;-72;-9
-46;107;-4
96;27;-92
142;-33;-53
37;-44;-30
38;-56;-108
186;-100;-44
122;-67;-19
28;76;30
91;83;-28
141;-5;-19
120;-133;-21
84;-112;7
90;-95;86
105;-65;-11
176;12;76
211;-39;31
152;-41;95
54;12;108
72;34;126
91;33;86
117;0;116
155;-105;75
184;-155;108
155;-143;96
178;-78;97
205;-51;123
182;-20;148
102;-41;151
73;-73;138
95;-51;152
93;-129;140
115;-174;141
131;-132;137
176;-62;110
239;-106;194
189;-147;134
68;-91;164
-18;-58;204
8;-29;118
90;18;109
122;-28;98
78;-77;30
20;-119;43
18;-114;69
65;-22;55
108;52;33
91;-5;54
2;-38;8
-17;-14;66
60;-90;61
138;-78;4
212;32;15
272;82;98
210;10;24
79;8;77
-27;-98;214
-123;-155;72
-11;-66;52
155;-50;9
249;20;-112
330;93;48
192;-34;117
-83;-11;33
-144;18;194
-128;-56;68
25;-15;-77
259;4;-62
434;38;-56
442;46;-6
231;-12;136
-167;-35;264
-390;51;159
-130;32;7
248;-82;-170
448;-115;-114
359;-102;-63
359;-102;-63
207;8;-3
81;-14;289
-252;-31;130
-312;103;60
-32;51;-139
283;-1;-269
388;38;-183
345;160;-163
277;82;70
-34;-229;333
-490;-101;164
-377;198;37
-89;67;-40
114;21;-236
357;-112;-377
375;-263;-132
36;-114;-20
-232;-86;175
-281;59;114
32;194;9
203;155;-35
122;91;-167
104;33;-155
39;28;20
-151;72;63
-226;-29;-18
-145;-226;31
-62;-260;-15
100;17;-17
156;67;-100
256;163;-143
112;114;-22
-224;60;29
-247;6;72
-196;-47;41
-49;14;-99
141;41;-34
185;-48;-62
171;-49;-69
24;-135;100
-246;-126;-22
-151;22;-125
5;42;-15
-20;58;-16
17;111;-24
92;98;-11
99;55;-65
76;-26;11
-113;-101;81
-161;-56;-19
-62;16;37
-41;60;-58
-30;66;-75
-17;-36;-79
-34;-133;-78
-75;-101;-64
-28;-11;-3
-12;31;-22
-14;20;54
-67;35;48
-30;31;-70
47;-14;-62
-1;8;-21
-1;17;-38
26;-39;-15
-13;-53;31
-105;-16;50
-119;56;11
5;101;-20
55;87;16
24;48;23
-7;25;69
-60;-8;7
2;-47;-36
-48;-138;2
-82;-114;-103
47;-61;-106
91;-26;-54
44;-14;-39
29;7;14
-20;52;55
-34;95;23
-72;128;39
-59;115;-26
-20;48;-53
-38;24;-76
8;24;-69
51;-2;-26
61;11;-19
75;2;29
-13;-3;63
-86;-1;21
-68;-32;-24
-20;-33;5
27;-54;-49
75;-97;-51
78;-126;3
56;-97;-24
9;-43;-2
-48;52;23
-75;132;24
-124;117;39
-93;56;-6
-38;-36;-7
4;-90;-4
74;-62;-39
80;-47;-5
19;-14;-7
-21;60;-3
-106;50;31
-142;7;-14
-90;9;-31
-13;1;-26
14;-27;-8
18;-38;-5
0;-34;1
-40;-18;9
-78;25;16
-94;6;5
-80;-26;11
-48;-24;8
-10;-26;-17
12;-30;-26
-18;-40;6
-68;-20;-8
-42;27;-20
1;49;9
18;43;7
37;24;16
17;-19;27
-17;-49;17
-42;-34;-3
-35;10;-50
11;64;-64
18;77;-43
-15;47;-14
-42;-7;9
-50;-50;-7
-32;-41;-4
-27;-3;13
-22;13;6
-13;15;4
-5;19;15
-1;8;0
-3;-14;-4
-20;-28;1
-28;-13;-14
-7;11;-21
8;13;-5
8;10;9
-4;2;0
-3;-1;3
-2;6;22
-22;-4;11
-30;-18;-13
-16;-4;-9
-4;-3;-21
6;-17;-28
9;-9;-13
-10;0;-2
-14;0;-14
3;27;-3
7;48;17
-1;27;-4
15;9;-9
22;3;-1
-4;-13;-10
-28;-36;-13
-29;-35;-9
-16;-18;-3
5;-3;-7
17;12;0
9;21;-1
9;20;-6
0;13;4
-10;6;-4
-1;8;-10
-4;9;7
-21;10;0
-18;8;-11
-8;5;-7
-22;0;-3
-33;5;-12
-20;-3;-21
-12;-3;-13
-20;2;-21
-19;12;-31
-10;21;-15
-31;16;7
-59;9;-8
-51;-21;-12
-59;-7;30
-80;30;27
-67;37;24
-32;59;12
4;56;-40
29;39;-67
11;29;-31
-44;38;-4
-63;11;-20
-41;-7;-23
-19;-11;-28
-2;1;-19
21;9;-17
19;-14;-13
-5;-11;-16
-25;-14;-19
-35;14;-4
-27;30;-1
-32;-2;-26
-62;-41;-16
-113;-42;-8
-127;-29;13
-131;8;3
-140;23;-11
-78;50;-19
56;49;-60
46;62;40
-63;115;69
-105;140;42
-142;147;4
-106;70;-56
-101;-53;-65
-102;-18;-113
-96;-7;-114
-74;-16;-97
-76;6;-38
-70;42;20
-71;14;34
-55;39;17
-2;12;4
-14;-29;11
-57;-1;-29
-44;11;-32
-15;24;-25
-13;2;-59
-26;-37;-11
-66;-26;102
-104;-43;19
-60;-89;-35
-16;-47;-26
5;77;-17
9;120;-35
